,Air Bags,Air Conditioner,Audio System,Backup Camera,Bluetooth / Wifi,Cooler,Exterior Lights,Fresh Water Tank (Portable),Inverter,Refrigerator,Roof Fan,Roof Rack,Sink,Solar,Tow Winch,Towing Package,USB port,Bike Rack,Fresh Water Tank (Built-in),Grey / Black Water Tanks,Heater / Furnace,Oven,Security System,Shower (Indoor),Shower (Outdoor),Stove,Toilet,Water Heater,Water Pump,Awning,Electric windows,Microwave,Offroad Lights,Offroad Tires,Skylight,Suspension Mods,TV,Propane,Heated seats,Generator,Child Seat,Shower
33,True,False,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
34,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
35,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False
36,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,True,False,True,False,False,False,False
37,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False,False,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True
38,True,True,True,True,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False
39,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,True,True,True,False,True,False,False,True,True,False,True,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False
41,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,False,False,False,False,True
42,True,True,True,True,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
43,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True
44,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
45,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,True,False,True,True,False,False,False,True,False,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,True
46,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True
47,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True
48,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,True
49,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True
50,True,False,True,False,True,False,True,True,False,True,True,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
51,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True
52,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True
53,True,True,True,True,True,False,False,True,True,True,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,False,True,True,True,True,False,False,True,False,True,False,True,True,False,False,True
54,True,False,True,False,True,False,False,False,True,True,True,False,True,True,False,False,True,False,True,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True
55,True,False,True,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
56,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
57,False,True,True,True,False,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,True,True,True,False,True,False,True
58,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,True,False,True,True,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
59,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True
60,True,False,False,True,False,True,False,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
62,True,True,True,True,True,False,False,False,True,True,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
63,True,False,True,True,False,False,False,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
64,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
65,True,False,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
66,True,False,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
67,True,True,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
68,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,True
69,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,False,True,True,False,False,True,True,False,False,False,True
70,True,False,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
71,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
72,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
73,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,True,False,True,False,False,False,False,True,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
75,True,True,True,True,True,False,True,False,True,True,True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,True,True
76,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
77,True,True,True,True,False,False,False,False,False,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
78,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,True
79,True,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True
80,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,True,True,True,True,True,False,True,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True
81,True,True,True,True,False,False,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True
82,True,False,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False
83,True,False,True,True,False,False,False,True,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
84,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False,False,True
85,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,True,True,True,False,False,False,True,False,True,True,True,False,True,False,True,False,False,True,False,True,False,True,True,True
86,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False
87,True,True,True,True,False,True,True,True,False,True,False,False,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False
88,True,False,True,True,True,False,False,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,False,True,False,False,False,False,False,True
89,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,False,False,True,True,True,False,True,True,True,False,True,False,False,True,False,False,True
90,True,False,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False
91,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
92,True,False,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True
93,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,True
94,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
95,True,True,True,True,False,False,False,True,True,True,True,False,True,False,False,True,True,True,False,False,True,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True
96,True,False,True,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,True,True,True,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
97,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False
98,False,False,False,True,False,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False
99,True,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
100,True,True,False,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True
101,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
102,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True
103,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,True,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True
104,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
105,True,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
106,True,True,False,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
107,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
108,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False
109,True,False,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True
110,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,False,True,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,True,False,False,False,True
111,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True
112,True,True,False,True,False,False,True,False,True,True,True,False,True,True,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
113,True,False,True,False,False,False,False,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
114,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,False,True
115,True,True,True,True,False,True,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
116,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,False,False,True
117,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False
118,True,True,True,True,False,False,False,True,True,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
119,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,True,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False
120,False,False,True,True,False,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
121,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True
122,True,False,True,True,True,False,False,True,True,False,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
123,True,False,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
124,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,True,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
125,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,False,True,False,True,False,False,False,True
126,True,False,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False
127,False,False,True,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
128,True,True,True,False,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,True,False,True
129,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True
130,True,True,True,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,True,True,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
131,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,True
132,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,True,False,False,True,False,True,False,True,False,False,False,True
133,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
134,True,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False
135,True,False,True,True,True,False,True,False,True,True,True,True,False,False,False,True,True,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,True,True,False,True,False,False,True,False,True,True
136,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
137,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
138,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
139,True,True,True,True,False,True,False,False,True,True,True,False,True,True,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True
140,False,True,False,True,True,False,True,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True
141,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True,True
142,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
143,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True
144,False,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
145,False,False,False,True,False,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True
146,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,True,True,False,True
147,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
148,True,True,True,True,True,False,False,True,True,False,True,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
149,False,True,True,False,True,False,False,False,True,True,True,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True
150,True,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True
151,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
152,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,False,False,False,True,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,True
153,True,False,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
154,True,True,False,True,False,False,True,True,True,True,False,False,True,True,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True
155,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,False,False,False,False,True
